Energia,Ao_vivo,Tempo,Falado,Orgânico,Instrumental,Compasso,Dançabilidade,Tom,Duração,Força,Positividade,Modo,Tipo,Music_id,Playlist_name,Album_name,Artista,Music_name
"0,495","0,117","176,101","0,0354","0,19","0,0671",4,"0,476",2,203404,"0,374239823808508","0,244",1,audio_features,6q2hpQcqqDkq6vN2sFAIGn,Sad,"Início, Meio e Fim",Ken Dantas,"Início, Meio e Fim"
"0,561","0,43","99,881","0,12","0,288","0,0000218",4,"0,511",10,168038,"0,337481522735054","0,203",0,audio_features,6EOfBDFfwfWObkx5bcEZd8,Sad,Seu Amor Morreu,Sadstation,Seu Amor Morreu
"0,27","0,145","78,879","0,0399","0,731","0,00000333",4,"0,353",9,179190,"0,224646677599186","0,135",0,audio_features,7Kx6rrdGthJelPcgsmUWM9,Sad,Te Vi no Baile,Sadstation,Te Vi no Baile
"0,183","0,0927","165,789","0,163","0,834","0,00000418",4,"0,546",5,146457,"0,0460627646059663","0,242",1,audio_features,3RkTmbR7D01mq46FNp1mI0,Sad,Ainda Lembro,Sadstation,Ainda Lembro
"0,435","0,362","90,07","0,154","0,579",0,4,"0,717",1,133667,"0,160158502702088","0,716",1,audio_features,6lzTQWg7ogZqrjN702JeIs,Sad,Odeio Gostar de Alguém,Naka mrl,Odeio Gostar de Alguém
"0,466","0,112","121,927","0,0461","0,428","0,0000836",4,"0,684",10,167955,"0,416245929943757","0,127",1,audio_features,458r7FbHGJOJNMyl4oMBSS,Sad,Não Precisa Ficar,Geovanna Jainy,Não Precisa Ficar
"0,316","0,129","69,04","0,0577","0,789","0,00000168",4,"0,534",9,170898,"0,426137741679301","0,579",1,audio_features,6ZquuCapUT5vx2TKaSuRvF,Sad,Casal de Filme,Luis Fortes,Casal de Filme
"0,268","0,109","110,013","0,033","0,912",0,4,"0,61",10,114875,"0,175913836408266","0,35",0,audio_features,78lxkXxRgQ39mWlS56iuGN,Sad,Anjos e Demônios,Magyn,Anjos e Demônios
"0,26","0,11","104,971","0,059","0,772","0,000379",4,"0,749",11,148589,"0,118781826743745","0,15",1,audio_features,5y3kHFelLlPIWvhw9bTqCl,Sad,Avião De Papel,Nanasai,Avião De Papel
"0,261","0,12","134,121","0,0512","0,789",0,4,"0,762",1,178218,"0,284478860698712","0,564",0,audio_features,0vAa3jsBGC9u2orV5rJjxG,Sad,Por Nós Dois,Hiosaki,Por Nós Dois
